2317.2	15396
2315.68	15532
2314.15	15495
2312.63	15399
2311.1	15357
2309.57	15126
2308.04	15172
2306.52	15124
2304.99	15234
2303.46	15235
2301.93	15061
2300.4	15226
2298.87	15110
2297.34	15123
2295.8	15240
2294.27	15039
2292.74	15081
2291.2	15083
2289.67	14852
2288.14	15096
2286.6	14878
2285.06	14849
2283.53	14758
2281.99	14786
2280.45	14782
2278.91	14699
2277.38	14661
2275.84	14641
2274.3	14575
2272.76	14545
2271.21	14408
2269.67	14507
2268.13	14597
2266.59	14536
2265.04	14497
2263.5	14382
2261.95	14386
2260.41	14445
2258.86	14238
2257.32	14331
2255.77	14271
2254.22	14393
2252.67	14253
2251.13	14285
2249.58	14142
2248.03	14120
2246.48	14147
2244.92	14025
2243.37	14143
2241.82	13907
2240.27	14072
2238.72	13976
2237.16	13929
2235.61	14012
2234.05	13868
2232.5	13872
2230.94	13838
2229.38	13855
2227.83	13706
2226.27	13796
2224.71	13720
2223.15	13657
2221.59	13674
2220.03	13603
2218.47	13574
2216.91	13658
2215.34	13487
2213.78	13437
2212.22	13358
2210.66	13331
2209.09	13403
2207.53	13320
2205.96	13245
2204.39	13171
2202.83	13026
2201.26	13052
2199.69	13004
2198.12	13081
2196.55	12974
2194.98	13051
2193.41	12938
2191.84	12914
2190.27	12843
2188.7	12863
2187.13	12842
2185.55	12783
2183.98	12895
2182.41	12816
2180.83	12764
2179.25	12687
2177.68	12704
2176.1	12560
2174.52	12610
2172.95	12454
2171.37	12466
2169.79	12500
2168.21	12538
2166.63	12417
2165.05	12435
2163.47	12459
2161.88	12370
2160.3	12427
2158.72	12239
2157.13	12324
2155.55	12252
2153.96	12241
2152.38	12144
2150.79	12172
2149.21	12084
2147.62	12194
2146.03	12127
2144.44	12048
2142.85	11996
2141.26	12024
2139.67	12041
2138.08	11958
2136.49	11850
2134.9	11830
2133.3	11736
2131.71	11743
2130.12	11747
2128.52	11757
2126.93	11663
2125.33	11520
2123.73	11524
2122.14	11530
2120.54	11415
2118.94	11470
2117.34	11460
2115.74	11348
2114.14	11305
2112.54	11306
2110.94	11223
2109.34	11220
2107.74	11042
2106.13	11083
2104.53	11045
2102.92	11062
2101.32	10994
2099.71	10955
2098.11	10862
2096.5	10857
2094.89	10881
2093.29	10785
2091.68	10848
2090.07	10807
2088.46	10733
2086.85	10721
2085.24	10723
2083.63	10654
2082.01	10658
2080.4	10639
2078.79	10603
2077.17	10514
2075.56	10483
2073.94	10401
2072.33	10404
2070.71	10420
2069.09	10393
2067.48	10320
2065.86	10309
2064.24	10286
2062.62	10292
2061	10159
2059.38	10106
2057.76	10147
2056.14	10065
2054.51	10114
2052.89	9936
2051.27	9977
2049.64	9948
2048.02	9983
2046.39	9943
2044.77	9844
2043.14	9821
2041.51	9836
2039.88	9864
2038.26	9714
2036.63	9786
2035	9731
2033.37	9720
2031.73	9852
2030.1	9621
2028.47	9575
2026.84	9664
2025.2	9538
2023.57	9488
2021.93	9471
2020.3	9462
2018.66	9328
2017.03	9355
2015.39	9256
2013.75	9182
2012.11	9259
2010.47	9198
2008.83	9180
2007.19	9138
2005.55	9135
2003.91	9156
2002.27	9091
2000.63	9006
1998.98	9083
1997.34	9070
1995.69	8902
1994.05	8850
1992.4	8807
1990.76	8828
1989.11	8679
1987.46	8695
1985.81	8711
1984.16	8664
1982.51	8600
1980.86	8616
1979.21	8574
1977.56	8578
1975.91	8492
1974.26	8458
1972.6	8486
1970.95	8409
1969.29	8281
1967.64	8344
1965.98	8269
1964.33	8329
1962.67	8167
1961.01	8273
1959.35	8080
1957.69	8101
1956.03	8013
1954.37	8078
1952.71	7961
1951.05	8028
1949.39	7879
1947.73	7919
1946.06	7839
1944.4	7895
1942.73	7970
1941.07	7910
1939.4	7756
1937.74	7828
1936.07	7680
1934.4	7701
1932.73	7691
1931.06	7610
1929.39	7632
1927.72	7628
1926.05	7531
1924.38	7540
1922.71	7481
1921.03	7526
1919.36	7492
1917.69	7350
1916.01	7360
1914.34	7381
1912.66	7325
1910.98	7254
1909.31	7263
1907.63	7240
1905.95	7241
1904.27	7217
1902.59	7119
1900.91	7110
1899.23	7118
1897.55	7129
1895.86	7071
1894.18	7074
1892.5	7089
1890.81	7047
1889.13	7005
1887.44	7016
1885.76	6953
1884.07	6881
1882.38	6864
1880.69	6863
1879	6798
1877.31	6737
1875.62	6803
1873.93	6806
1872.24	6706
1870.55	6661
1868.86	6607
1867.16	6634
1865.47	6575
1863.77	6603
1862.08	6603
1860.38	6514
1858.69	6525
1856.99	6532
1855.29	6404
1853.59	6416
1851.89	6463
1850.19	6421
1848.49	6406
1846.79	6344
1845.09	6344
1843.39	6258
1841.68	6263
1839.98	6233
1838.28	6260
1836.57	6096
1834.87	6103
1833.16	6102
1831.45	6017
1829.74	6072
1828.04	6002
1826.33	6048
1824.62	5937
1822.91	5933
1821.2	5950
1819.48	5931
1817.77	5942
1816.06	5985
1814.35	5895
1812.63	5877
1810.92	5902
1809.2	5847
1807.49	5821
1805.77	5784
1804.05	5751
1802.33	5833
1800.62	5734
1798.9	5699
1797.18	5722
1795.45	5718
1793.73	5745
1792.01	5687
1790.29	5704
1788.57	5673
1786.84	5577
1785.12	5571
1783.39	5566
1781.67	5570
1779.94	5535
1778.21	5519
1776.48	5524
1774.76	5515
1773.03	5499
1771.3	5460
1769.57	5536
1767.83	5462
1766.1	5460
1764.37	5420
1762.64	5458
1760.9	5488
1759.17	5427
1757.43	5416
1755.7	5414
1753.96	5385
1752.22	5326
1750.49	5360
1748.75	5302
