2745.96	358
2744.58	358
2743.19	367
2741.81	368
2740.42	356
2739.03	355
2737.64	347
2736.25	362
2734.86	376
2733.47	380
2732.08	386
2730.69	386
2729.3	385
2727.91	384
2726.51	378
2725.12	385
2723.73	383
2722.33	375
2720.94	380
2719.54	365
2718.15	375
2716.75	380
2715.35	376
2713.96	378
2712.56	399
2711.16	398
2709.76	386
2708.36	400
2706.96	391
2705.56	362
2704.16	387
2702.76	391
2701.36	404
2699.96	382
2698.56	401
2697.15	386
2695.75	400
2694.34	396
2692.94	391
2691.53	393
2690.13	405
2688.72	414
2687.31	412
2685.91	408
2684.5	385
2683.09	401
2681.68	395
2680.27	406
2678.86	408
2677.45	419
2676.04	409
2674.63	400
2673.22	407
2671.81	396
2670.39	394
2668.98	405
2667.57	386
2666.15	398
2664.74	410
2663.32	385
2661.91	397
2660.49	397
2659.07	409
2657.65	409
2656.24	429
2654.82	409
2653.4	427
2651.98	433
2650.56	415
2649.14	423
2647.72	429
2646.3	424
2644.87	439
2643.45	424
2642.03	424
2640.61	417
2639.18	422
2637.76	430
2636.33	406
2634.91	432
2633.48	423
2632.05	439
2630.62	427
2629.2	415
2627.77	420
2626.34	448
2624.91	416
2623.48	460
2622.05	462
2620.62	428
2619.19	426
2617.76	448
2616.32	448
2614.89	431
2613.46	456
2612.02	441
2610.59	432
2609.15	458
2607.72	446
2606.28	434
2604.85	471
2603.41	466
2601.97	481
2600.53	445
2599.09	447
2597.65	444
2596.22	443
2594.78	447
2593.33	439
2591.89	472
2590.45	462
2589.01	472
2587.57	462
2586.12	450
2584.68	484
2583.23	485
2581.79	484
2580.34	497
2578.9	487
2577.45	478
2576	479
2574.56	482
2573.11	473
2571.66	488
2570.21	483
2568.76	482
2567.31	477
2565.86	489
2564.41	498
2562.96	488
2561.51	491
2560.05	507
2558.6	501
2557.15	491
2555.69	510
2554.24	500
2552.78	520
2551.32	495
2549.87	502
2548.41	533
2546.95	518
2545.5	482
2544.04	514
2542.58	537
2541.12	507
2539.66	515
2538.2	517
2536.74	535
2535.27	513
2533.81	526
2532.35	536
2530.89	549
2529.42	538
2527.96	553
2526.49	521
2525.03	508
2523.56	549
2522.09	525
2520.63	535
2519.16	529
2517.69	558
2516.22	565
2514.75	553
2513.28	536
2511.81	543
2510.34	567
2508.87	561
2507.4	557
2505.93	532
2504.45	580
